animal_name,hair,eggs,milk,predator,toothed,backbone,breathes,venomous,legs,tail,class_name,can_fly,can_swim,is_domestic_pet,event_timestamp
aardvark,1,0,1,1,1,1,1,0,4,0,Mammal,False,False,False,2025-10-06 05:46:09.850983
antelope,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,False,2025-10-05 05:46:09.850983
bass,0,1,0,1,1,1,0,0,0,1,Fish,False,True,False,2025-10-04 05:46:09.850983
bear,1,0,1,1,1,1,1,0,4,0,Mammal,False,False,False,2025-10-03 05:46:09.850983
boar,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-10-02 05:46:09.850983
buffalo,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,False,2025-10-01 05:46:09.850983
calf,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,True,2025-09-30 05:46:09.850983
carp,0,1,0,0,1,1,0,0,0,1,Fish,False,True,False,2025-09-29 05:46:09.850983
catfish,0,1,0,1,1,1,0,0,0,1,Fish,False,True,False,2025-09-28 05:46:09.850983
cavy,1,0,1,0,1,1,1,0,4,0,Mammal,False,False,False,2025-09-27 05:46:09.850983
cheetah,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-09-26 05:46:09.850983
chicken,0,1,0,0,0,1,1,0,2,1,Bird,True,False,False,2025-09-25 05:46:09.850983
chub,0,1,0,1,1,1,0,0,0,1,Fish,False,True,False,2025-09-24 05:46:09.850983
clam,0,1,0,1,0,0,0,0,0,0,Invertebrate,False,False,False,2025-09-23 05:46:09.850983
crab,0,1,0,1,0,0,0,0,4,0,Invertebrate,False,False,False,2025-09-22 05:46:09.850983
crayfish,0,1,0,1,0,0,0,0,6,0,Invertebrate,False,False,False,2025-09-21 05:46:09.850983
crow,0,1,0,1,0,1,1,0,2,1,Bird,True,False,False,2025-09-20 05:46:09.850983
deer,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,False,2025-09-19 05:46:09.850983
dogfish,0,1,0,1,1,1,0,0,0,1,Fish,False,True,False,2025-09-18 05:46:09.850983
dolphin,0,0,1,1,1,1,1,0,0,1,Mammal,False,True,False,2025-09-17 05:46:09.850983
dove,0,1,0,0,0,1,1,0,2,1,Bird,True,False,False,2025-09-16 05:46:09.850983
duck,0,1,0,0,0,1,1,0,2,1,Bird,True,False,False,2025-09-15 05:46:09.850983
elephant,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,False,2025-09-14 05:46:09.850983
flamingo,0,1,0,0,0,1,1,0,2,1,Bird,True,False,False,2025-09-13 05:46:09.850983
flea,0,1,0,0,0,0,1,0,6,0,Bug,False,False,False,2025-09-12 05:46:09.850983
frog,0,1,0,1,1,1,1,0,4,0,Amphibian,False,False,False,2025-09-11 05:46:09.850983
frog,0,1,0,1,1,1,1,1,4,0,Amphibian,False,False,False,2025-09-09 05:46:09.850983
fruitbat,1,0,1,0,1,1,1,0,2,1,Mammal,False,False,False,2025-09-07 05:46:09.850983
giraffe,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,False,2025-09-06 05:46:09.850983
girl,1,0,1,1,1,1,1,0,2,0,Mammal,False,False,True,2025-09-05 05:46:09.850983
gnat,0,1,0,0,0,0,1,0,6,0,Bug,False,False,False,2025-09-04 05:46:09.850983
goat,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,True,2025-09-03 05:46:09.850983
gorilla,1,0,1,0,1,1,1,0,2,0,Mammal,False,False,False,2025-09-02 05:46:09.850983
gull,0,1,0,1,0,1,1,0,2,1,Bird,True,False,False,2025-09-01 05:46:09.850983
haddock,0,1,0,0,1,1,0,0,0,1,Fish,False,True,False,2025-08-31 05:46:09.850983
hamster,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,False,2025-08-30 05:46:09.850983
hare,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,False,2025-08-29 05:46:09.850983
hawk,0,1,0,1,0,1,1,0,2,1,Bird,True,False,False,2025-08-28 05:46:09.850983
herring,0,1,0,1,1,1,0,0,0,1,Fish,False,True,False,2025-08-27 05:46:09.850983
honeybee,1,1,0,0,0,0,1,1,6,0,Bug,False,False,False,2025-08-26 05:46:09.850983
housefly,1,1,0,0,0,0,1,0,6,0,Bug,False,False,False,2025-08-25 05:46:09.850983
kiwi,0,1,0,1,0,1,1,0,2,1,Bird,False,False,False,2025-08-24 05:46:09.850983
ladybird,0,1,0,1,0,0,1,0,6,0,Bug,False,False,False,2025-08-23 05:46:09.850983
lark,0,1,0,0,0,1,1,0,2,1,Bird,True,False,False,2025-08-22 05:46:09.850983
leopard,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-08-21 05:46:09.850983
lion,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-08-20 05:46:09.850983
lobster,0,1,0,1,0,0,0,0,6,0,Invertebrate,False,False,False,2025-08-19 05:46:09.850983
lynx,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-08-18 05:46:09.850983
mink,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-08-17 05:46:09.850983
mole,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-08-16 05:46:09.850983
mongoose,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-08-15 05:46:09.850983
moth,1,1,0,0,0,0,1,0,6,0,Bug,False,False,False,2025-08-14 05:46:09.850983
newt,0,1,0,1,1,1,1,0,4,1,Amphibian,False,False,False,2025-08-13 05:46:09.850983
octopus,0,1,0,1,0,0,0,0,8,0,Invertebrate,False,False,False,2025-08-12 05:46:09.850983
opossum,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-08-11 05:46:09.850983
oryx,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,False,2025-08-10 05:46:09.850983
ostrich,0,1,0,0,0,1,1,0,2,1,Bird,False,False,False,2025-08-09 05:46:09.850983
parakeet,0,1,0,0,0,1,1,0,2,1,Bird,True,False,False,2025-08-08 05:46:09.850983
penguin,0,1,0,1,0,1,1,0,2,1,Bird,False,False,False,2025-08-07 05:46:09.850983
pheasant,0,1,0,0,0,1,1,0,2,1,Bird,True,False,False,2025-08-06 05:46:09.850983
pike,0,1,0,1,1,1,0,0,0,1,Fish,False,True,False,2025-08-05 05:46:09.850983
piranha,0,1,0,1,1,1,0,0,0,1,Fish,False,True,False,2025-08-04 05:46:09.850983
pitviper,0,1,0,1,1,1,1,1,0,1,Reptile,False,False,False,2025-08-03 05:46:09.850983
platypus,1,1,1,1,0,1,1,0,4,1,Mammal,False,False,False,2025-08-02 05:46:09.850983
polecat,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-08-01 05:46:09.850983
pony,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,True,2025-07-31 05:46:09.850983
porpoise,0,0,1,1,1,1,1,0,0,1,Mammal,False,True,False,2025-07-30 05:46:09.850983
puma,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-07-29 05:46:09.850983
pussycat,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,True,2025-07-28 05:46:09.850983
raccoon,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-07-27 05:46:09.850983
reindeer,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,True,2025-07-26 05:46:09.850983
rhea,0,1,0,1,0,1,1,0,2,1,Bird,False,False,False,2025-07-25 05:46:09.850983
scorpion,0,0,0,1,0,0,1,1,8,1,Invertebrate,False,False,False,2025-07-24 05:46:09.850983
seahorse,0,1,0,0,1,1,0,0,0,1,Fish,False,True,False,2025-07-23 05:46:09.850983
seal,1,0,1,1,1,1,1,0,0,0,Mammal,False,True,False,2025-07-22 05:46:09.850983
sealion,1,0,1,1,1,1,1,0,2,1,Mammal,False,True,False,2025-07-21 05:46:09.850983
seasnake,0,0,0,1,1,1,0,1,0,1,Reptile,False,False,False,2025-07-20 05:46:09.850983
seawasp,0,1,0,1,0,0,0,1,0,0,Invertebrate,False,False,False,2025-07-19 05:46:09.850983
skimmer,0,1,0,1,0,1,1,0,2,1,Bird,True,False,False,2025-07-18 05:46:09.850983
skua,0,1,0,1,0,1,1,0,2,1,Bird,True,False,False,2025-07-17 05:46:09.850983
slowworm,0,1,0,1,1,1,1,0,0,1,Reptile,False,False,False,2025-07-16 05:46:09.850983
slug,0,1,0,0,0,0,1,0,0,0,Invertebrate,False,False,False,2025-07-15 05:46:09.850983
sole,0,1,0,0,1,1,0,0,0,1,Fish,False,True,False,2025-07-14 05:46:09.850983
sparrow,0,1,0,0,0,1,1,0,2,1,Bird,True,False,False,2025-07-13 05:46:09.850983
squirrel,1,0,1,0,1,1,1,0,2,1,Mammal,False,False,False,2025-07-12 05:46:09.850983
starfish,0,1,0,1,0,0,0,0,5,0,Invertebrate,False,False,False,2025-07-11 05:46:09.850983
stingray,0,1,0,1,1,1,0,1,0,1,Fish,False,True,False,2025-07-10 05:46:09.850983
swan,0,1,0,0,0,1,1,0,2,1,Bird,True,False,False,2025-07-09 05:46:09.850983
termite,0,1,0,0,0,0,1,0,6,0,Bug,False,False,False,2025-07-08 05:46:09.850983
toad,0,1,0,0,1,1,1,0,4,0,Amphibian,False,False,False,2025-07-07 05:46:09.850983
tortoise,0,1,0,0,0,1,1,0,4,1,Reptile,False,False,False,2025-07-06 05:46:09.850983
tuatara,0,1,0,1,1,1,1,0,4,1,Reptile,False,False,False,2025-07-05 05:46:09.850983
tuna,0,1,0,1,1,1,0,0,0,1,Fish,False,True,False,2025-07-04 05:46:09.850983
vampire,1,0,1,0,1,1,1,0,2,1,Mammal,False,False,False,2025-07-03 05:46:09.850983
vole,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,False,2025-07-02 05:46:09.850983
vulture,0,1,0,1,0,1,1,0,2,1,Bird,True,False,False,2025-07-01 05:46:09.850983
wallaby,1,0,1,0,1,1,1,0,2,1,Mammal,False,False,False,2025-06-30 05:46:09.850983
wasp,1,1,0,0,0,0,1,1,6,0,Bug,False,False,False,2025-06-29 05:46:09.850983
wolf,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-06-28 05:46:09.850983
worm,0,1,0,0,0,0,1,0,0,0,Invertebrate,False,False,False,2025-06-27 05:46:09.850983
wren,0,1,0,0,0,1,1,0,2,1,Bird,True,False,False,2025-06-26 05:46:09.850983
kangaroo,1,0,1,0,1,1,1,0,2,1,Mammal,False,False,False,2025-06-24 05:46:09.850983
cobra,0,1,0,1,1,1,1,1,0,1,Reptile,False,False,False,2025-06-22 05:46:09.850983
jellyfish,0,1,0,1,0,0,0,1,4,0,Invertebrate,False,False,False,2025-06-21 05:46:09.850983
shark,0,1,0,1,1,1,0,0,0,1,Fish,False,True,False,2025-06-19 05:46:09.850983
tiger,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-06-18 05:46:09.850983
zebra,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,False,2025-06-17 05:46:09.850983
falcon,0,1,0,1,0,1,1,0,2,1,Bird,True,False,False,2025-06-16 05:46:09.850983
owl,0,1,0,1,0,1,1,0,2,1,Bird,True,False,False,2025-06-15 05:46:09.850983
butterfly,0,1,0,0,0,0,1,0,6,0,Bug,False,False,False,2025-06-14 05:46:09.850983
dragonfly,0,1,0,1,0,0,1,0,6,0,Bug,False,False,False,2025-06-13 05:46:09.850983
whale,0,0,1,1,1,1,1,0,0,1,Mammal,False,True,False,2025-06-12 05:46:09.850983
rhino,1,0,1,0,1,1,1,0,4,1,Mammal,False,False,False,2025-06-11 05:46:09.850983
hippo,1,0,1,1,1,1,1,0,4,1,Mammal,False,False,False,2025-06-10 05:46:09.850983
alligator,0,1,0,1,1,1,1,0,4,1,Reptile,False,False,False,2025-06-09 05:46:09.850983
crocodile,0,1,0,1,1,1,1,0,4,1,Reptile,False,False,False,2025-06-08 05:46:09.850983
turtle,0,1,0,0,0,1,1,0,4,1,Reptile,False,False,False,2025-06-07 05:46:09.850983
lizard,0,1,0,1,1,1,1,0,4,1,Reptile,False,False,False,2025-06-06 05:46:09.850983
snake,0,1,0,1,1,1,1,1,0,1,Reptile,False,False,False,2025-06-05 05:46:09.850983
